date_added,id,category,display,state,city,lat,lon,radius,name,name_catalog,notes,keywords
4/16/2020,341,"outdoor, sports",,,,,,,GET A GRIP,,,"Rock, Climbing, Sport, Summer"
9/30/2013,67,art,,,,,,,Blush,,,pink flower plant abstract
9/30/2013,69,art,,,,,,,Fresh,,,green flower plant succulent abstract
9/30/2013,70,art,,,,,,,Splash,,,blue water art abstract
9/30/2013,68,art,,,,,,,Vivid,,,"abstract heritage woven stripes colors, "
1/1/2012,19,arvest,0,,,,,,Arvest Private Banking,,should not come up in the search,
10/15/2013,141,public,,,,,,,Police,,,law badge service public officer emergency responder 911 cop cops
10/15/2013,142,public,,,,,,,Paramedics,,,paramedic service public ambulance emergency responder 911 emt
11/29/2016,262,public,,AR,Bentonville,36.36785,-94.21044,30,Bentonville Library,,,bentonville libraries books library education
10/15/2013,143,public,,,,,,,Medical Services,,,scrubs stethoscope service public emergency responder doctor nurse 911 emt
10/15/2013,144,public,,,,,,,Fire Rescue,,,helmet fireman firemen service public emergency responder 911
2/25/2014,93,college,,AR,,,,,Arkansas Tech,,,university college russellville green gold wonder boys
10/19/2017,272,college,,AR,,,,,Arkansas College of Osteopathic Medicine,,,"arcom, colleges, arkansas colleges, osteopathic medicine, med schools, fort smith"
8/15/2013,116,college,,AR,,,,,ASU Mountain Home,,,arkansas university
10/18/2018,312,college,,AR,,,,,ASU Jonesboro Red Wolves,,,"ASU, Arkansas State University, Red Wolves, Jonesboro, Scarlet, Black"
3/8/2018,284,college,,AR,,,,, Central Baptist College,,,"central baptist college, central baptist, cbc, mustangs, conway, "
8/15/2013,83,college,,AR,,,,,John Brown University,,,Arkansas JBU  Siloam Springs royal blue gold Golden Eagles
8/15/2013,119,college,,AR,,,,,Rich Mountain Community College,,,Arkansas College Mena
8/15/2013,117,college,,AR,,,,,University of Arkansas Fort Smith,,,Arkansas University UAFS navy blue white
8/28/2015,222,college,,AR,,,,,National Park Community College,,,hot springs arkansas community college national park
8/15/2013,130,college,,AR,,,,,NORTHARK COLLEGE,,,Arkansas Harrison Berryville
8/15/2014,180,college,,AR,,,,,NWACC,,,Bentonville Arkansas Northwest Arkansas eagles green community college
6/26/2015,205,college,,AR,,,,,University of Central Arkansas,,,university central arkansas conway victor bear grey purple
8/26/2015,213,college,,AR,,,,,Hendrix College,,,Hendrix Conway Arkansas Ivan Warrior black orange
3/8/2018,285,college,,KS,,,,,Calvary University,,,"calvary university, calvary, kansas city, warriors"
8/15/2013,35,college,,KS,,,,,Neosho County Community College,,,College Chanute Kansas orange black panthers
8/15/2013,38,college,,MO,,,,,MSSU,,,Missouri University Joplin green gold lions
8/15/2013,149,college,,MO,,,,,Crowder College,,,Missouri college Neosho
11/1/2016,261,college,,MO,,,,,Ozark Christian College,,,ozark christian college ozark ozarks christian joplin missouri colleges university universities ambassadors
11/3/2014,181,college,,MO KS,,,,,UMKC,,,Kansas City Missouri Kangaroos Kasey UMKC Roos gold royal blue
11/3/2014,190,college,,MO OK,,,,,NEO A&M College,,,Miami Oklahoma NEO Golden Norsemen Lady Norse blue gold yellow
8/15/2013,43,college,,OK,,,,,USAO,,,Oklahoma university green gold Drovers
1/1/2014,169,college,,OK,,,,,Rogers State University,,,Oklahoma college claremore hillcats blue red
1/12/2015,194,college,,OK,,,,,NSU RIVERHAWKS,,,Tahlequah Oklahoma green gray northeastern state rowdy the riverhawk
4/7/2016,239,college,,OK,,,,,Carl Albert State College,,,carl albert vikings community college
6/28/2018,287,college,,OK,,,,,Cameron University,,,"cameron university, cameron, lawton, lawton ok, oklahoma colleges, oklahoma schools, colleges, schools, aggies"
7/12/2018,295,college,,AR,,,,,UA Cossatot,,,cossatot university of arkansas cossatot de queen southwest arkansas ouachitas arkansas colleges
3/7/2019,323,college,,OK AR,,,,,Kiamichi Technology Center,,,"Kiamichi, Kiamichi Technology Centers, Kiamichi Tech Center, Tech, Poteau, Fort Smith"
10/30/2013,73,dest,,,,,,,Hit the Slopes,,,snow ski skiing vacation travel scenic nature
10/30/2013,72,dest,,,,,,,On the Beach,,,sand ocean water blue vacation travel scenic
10/30/2013,71,"dest,outdoor",,,,,,,Sunset Peaks,,,sunset peaks mountain vacation travel scenic nature
10/30/2013,74,"dest,outdoor",,,,,,,"Stream (""Nature Walk"")",Nature Walk,could/should also be in the outdoor category,stream nature wood creek water tree
2/24/2016,233,"dest,outdoor",,,,,,,BULL SHOALS LAKE SUNSET,,,"bull shoals lake, water, nature, arkansas parks, scenic, lakes, nature, mountain home, ozarks"
2/24/2016,234,"dest,outdoor",,,,,,,Cotter Bridge,,,"cotter bridge, railroad, nature, foliage, arkansas landmarks, white river, "
2/24/2016,235,"dest,outdoor",,,,,,,Fall in the Ozarks,,,"fall, ozarks, autumn, foliage, nature, travel, hills, trees, leaves, seasonal"
8/4/2016,244,dest,,,,,,,Blanchard Springs,,,blanchard springs caverns cave arkansas landmarks underground natural state
8/4/2016,246,"dest,outdoor",,,,,,,Lake Ouachita,,,lake ouachita lakes arkansas state parks arkansas landmarks water hot springs ouachitas natural state
8/4/2016,247,"dest, sports",,,,,,,The Ridges,,,the ridges golf course arkansas public golf courses east arkansas wynne natural state
8/4/2016,248,"dest,outdoor",,,,,,,BUFFALO NATIONAL RIVER,,,buffalo river national river arkansas landmark canoeing floating bluffs ozarks arkansas rivers natural state
8/4/2016,249,"dest,outdoor",,,,,,,Lake Chicot,,,lake chicot arkansas state parks arkansas landmarks delta southeast arkansas lake village natural state
8/4/2016,250,"dest,outdoor",,,,,,,Petit Jean,,,petit jean arkansas state parks arkansas landmarks waterfalls hiking ouachitas morrilton mountain natural state
8/4/2016,251,"dest,outdoor",,,,,,,Whitaker Point,,,whitaker point arkansas landmarks ozarks buffalo river hiking boxley natural state
5/18/2017,265,"dest,outdoor",,,,,,,Beavers Bend,,,"beavers bend, river, lake, nature, oklahoma, oklahoma state parks, broken bow"
5/18/2017,266,"dest,outdoor",,,,,,,Boiling Springs,,,"boiling springs, oklahoma, oklahoma state parks, "
5/18/2017,267,"dest,outdoor",,,,,,,Lake Murray,,,"lake murray, oklahoma, oklahoma state parks, water, jet ski, ardmore, lake"
5/18/2017,268,"dest,outdoor",,,,,,,Osage Hills,,,"osage hills, oklahoma, oklahoma state parks, bartlesville, forest, cabin, "
5/18/2017,269,"dest,outdoor",,,,,,,Robbers Cave ,,,"robbers cave, oklahoma, oklahoma state parks, bluffs, hiking, mountains, camping"
5/18/2017,270,"dest,outdoor",,,,,,,Roman Nose,,,"roman nose, oklahoma, oklahoma state parks, native americans, tent, teepee, tipi, "
10/19/2017,273,"dest,outdoor",,,,,,,Mississippi River State Park,,,"arkansas, arkansas state parks, mississippi river, marianna, east arkansas, delta, rivers, camping"
3/12/2020,340,"dest,outdoor",,,,,,,Hot Springs Northwood Trail,,,Hot Springs Northwood Trail Trails Nature Outdoors Arkansas
10/19/2017,274,dest,,,,,,,Little Rock Downtown,,,"little rock, arkansas, downtown, little rock skyline, bridge, river, city"
10/19/2017,275,dest,,,,,,,Hot Springs Bathhouse,,,"hot springs, arkansas, bathhouse row, quapaw baths, ozark baths, ouachitas"
8/14/2016,254,dest,,,,,,,Kansas City Skyline,,,kansas city skyline downtown missouri river convention center riverfront kmco
12/15/2016,263,dest,,,,,,,Tulsa Skyline,,,tulsa downtown skyline oklahoma city lights
7/14/2015,207,dest,,AR,,,,,Ben Franklin Wall,,,Siloam Springs Arkansas Ben Franklin bricks store
7/14/2015,208,dest,,AR,,,,,Clock,,,Siloam Springs Arkansas clock main street downtown
7/14/2015,209,dest,,AR,,,,,Fountain,,,Siloam Springs Arkansas fountain trees park nature
7/14/2015,210,dest,,AR,,,,,Gazebo,,,Siloam Springs Arkansas gazebo trees park nature
7/14/2015,211,dest,,AR,,,,,Springs,,,Siloam Springs Arkansas springs falls water park nature
8/15/2013,129,dest,,OK,,,,,City Of Bartlesville,,,Oklahoma city
4/3/2015,197,dest,,AR,,,,,Cathedral,,,sun sunset chapel fountain church
8/26/2015,214,org,,MO,,,,,Art Feeds,,,art feeds joplin mossouri green blue
8/15/2013,39,org,,OK,,,,,Cancer Centers of SW Oklahoma,,,hospital Altus Lawton Duncan
10/30/2013,75,"outdoor, sports",,,,,,,Catch of the Day,,,fish bass fishing angler outdoors bait lake water nature
10/30/2013,77,outdoor,,,,,,,Deer at Dawn,,,antlers buck outdoors animals hunting sunrise
10/30/2013,76,outdoor,,,,,,,Flight at Dusk,,,outdoor animal hunting bird duck geese goose flock lake
10/30/2013,82,outdoor,,,,,,,"Hunting Dog (""On the Wing"")",On the Wing,,dog hunting outdoor animal field canine
2/24/2016,236,outdoor,,,,,,,Snowy Pass,,,"snow, winter, nature, bridge, trail, seasonal, christmas, cold"
9/8/2016,255,outdoor,,,,,,,Dock View,,,lake dock sunrise sunset fishing arkansas outdoor adventures lake atkins
9/8/2016,256,outdoor,,,,,,,Lake Life,,,lake sunset boats boatin outdoor adventures fishing arkansas
9/8/2016,257,outdoor,,,,,,,Red Rock,,,red rocks moutains west colorado outdoor adventures garden of the gods
2/25/2014,112,school,,AR,Mena,34.5862,-94.2396,,Acorn Tigers,,,mena arkansas blue gold
8/15/2013,84,school,,AR,Alma,35.476,-94.2196,40,Alma Airedales,,,Arkansas green gold
10/29/2014,184,school,,AR,Alpena,36.2917,-93.2951,80,Alpena Leopards,,,Arkansas leopards grey maroon
9/13/2018,303,school,,AR,Ashdown,33.67444,-94.130981,300,Ashdown Schools,,,"ashdown, panthers, arkansas high schools, southwest arkansas"
8/15/2013,37,school,,AR,Bentonville,36.3505,-94.1958,30,Bentonville Tigers,,,Arkansas black gold white
8/14/2016,252,school,,AR,Bentonville,,,30,Bentonville West Wolverines,,,Bentonville west high school nortwest arkansas wolverine sports mascots
9/3/2015,215,school,,AR,Benton,34.59229,-92.56815,45,Benton Panthers,,,Benton arkansas panthers maroon grey
8/15/2013,146,school,,AR,Bergman,36.31618,-93.00767,30,Bergman Panthers,,,Arkansas panthers blue gold
8/15/2013,60,school,,AR,Berryville,36.36998,-93.57592,30,Berryville Bobcats,,,Arkansas purple gold
7/26/2018,297,school,,AR,Brookland,35.907864,-90.582433,250,BROOKLAND BEARCATS,,,"brookland, bearcats, arkansas schools, northeast arkansas, arkansas high schools"
1/16/2017,264,school,,AR,Bryant,34.60133,-92.49305,30,Bryant Hornets,,,bryant hornets arkansas high schools little rock high school
7/14/2015,206,school,,AR,Cabot,34.9804,-92.0337,45,Cabot Panthers,,,Cabot Arkansas Panthers Red White
1/21/2021,322,school,,AR,Cedarville,35.576097,-94.368786,40,Cedarville,,,"Cedarville, Arkansas, High School, Pirates"
4/3/2015,199,school,,AR,Conway,35.0763,-92.4613,40,Conway Wampus Cats,,,Arkansas Conway Wampus Cats blue white
8/15/2013,145,school,,AR,Cotter,36.27117,-92.53544,30,Cotter Warriors,,,Arkansas blue white
2/25/2014,90,school,,AR,Branch,35.3056,-93.9535,50,County Line Indians,,,Branch Arkansas red grey
2/25/2014,91,school,,AR,Dardanelle,35.2231,-93.15795,140,Dardanelle Sand Lizards,,larger radius to appear with Fort Smith & Little Rock,Arkansas red white
9/13/2018,307,school,,AR,Dierks,34.119328,-94.016477,240,Dierks Schools,,,"dierks, outlaws, southwest arkansas, arkansas high schools, deirks"
8/15/2013,121,school,,AR,Dover,35.40147,-93.1143,115,Dover Pirates,,large radius to appear with Fort Smith,Arkansas black white
8/15/2013,40,school,,AR,Elkins,36.00522,-94.00891,30,Elkins Elks,,,Arkansas purple white
4/28/2016,240,school,,AR,Eureka Springs,36.4099,-93.7761,60,Eureka Springs Highlanders,,,Arkansas eureka springs red black sword shield highlanders
8/15/2013,23,school,,AR,Farmington,36.0393,-94.2536,30,Farmington Cardinals,,,Arkansas cardinals scarlet white
8/15/2013,58,school,,AR,Fayetteville,36.059,-94.1738,30,Fayetteville Bulldogs,,,Arkansas purple dog purple white
7/30/2015,212,school,,AR,Fayetteville,36.08391,-94.1114,30,ST. JOSEPH PANTHERS,,,Arkansas fayetteville panthers blue red white
8/15/2013,110,school,,AR,Fort Smith ,35.38592,-94.39854,30,Southside Mavericks,,,Fort Smith Arkansas columbia blue red mavericks
8/15/2013,111,school,,AR,Fort Smith ,35.38592,-94.3985,30,Northside Grizzlies,,,Fort Smith Arkansas grizzly bear red white
8/15/2013,124,school,,AR,Atkins,35.503164,-93.710861,180,Atkins Red Devils,,large radius to appear with Fort Smith,Arkansas scarlet white
8/15/2013,132,school,,AR,Flippin,36.2798,-92.5996,30,Flippin Bobcats,,,Arkansas red white
8/15/2013,137,school,,AR,Gentry,36.2675,-94.4846,30,Gentry Pioneers,,,Arkansas maroon white
8/15/2013,123,school,,AR,Gravette,36.422,-94.4535,30,Gravette Lions,,,Arkansas black orange
8/15/2013,56,school,,AR,Green Forest,36.3299,-93.4331,30,Green Forest Tigers,,,Arkansas red white
5/27/2015,201,school,,AR,Greenland,35.9968,-94.1867,30,Greenland Pirates,,,Greenland Arkansas pirates green white
8/15/2013,100,school,,AR,Greenwood,35.2122,-94.2553,40,Greenwood Bulldogs,,,Arkansas navy blue white
8/15/2013,101,school,,OK,Coweta,35.95195,-95.6499,40,Coweta Tigers,,,Oklahoma orange black
8/15/2013,102,school,,MO,Branson,36.64152,-93.218,60,Branson Pirates,,large radius to appear with Springfield,Missouri red black
2/24/2016,237,school,,AR,Springdale,36.16762,-94.15362,30,Shiloh Saints,,,"shiloh christian, saints, high school, navy, gold, springdale, arkansas "
8/15/2013,103,school,,AR,Springdale,36.1847,-94.142,30,Springdale Bulldogs,,,Arkansas red white black
8/15/2013,104,school,,AR,Springdale,36.175,-94.1659,30,Springdale Community,,,Arkansas wildcats
8/15/2013,105,school,,AR,Springdale,36.18836,-94.1302,30,Springdale Har-Ber Wildcats,,,Arkansas wildcats
8/15/2013,107,school,,AR,Saint Paul,35.8241,-93.7654,50,Saint Paul Saints,,,Arkansas royal blue white
8/15/2013,108,school,,OK,Vinita,36.63851,-95.1538,70,Vinita Hornets,,larger radius to appear with Bartlesville,"Oklahoma, hornets, blue, white"
8/15/2013,109,college,,OK,,,,,Oklahoma Wesleyan University,,,Oklahoma eagles Bartlesville navy maroon
3/18/2015,198,school,,AR,Hackett,35.18707,-94.40927,40,Hackett Hornets,,,Arkansas Hackett Hornets black gold
8/15/2013,115,school,,AR,Harrison,36.2386,-93.1337,100,Harrison Goblins,,,Arkansas golden blue gold
1/1/2014,162,school,,AR,Hector,35.4673,-92.9749,130,Hector Wildcats,,large radius to appear with Fort Smith,Arkansas blue white
5/27/2015,204,school,,AR,Hot Springs,34.4923,-93.05715,120,HOT SPRINGS SCHOOL DISTRICT,,larger radius to appear with Little Rock,Arkansas Hot Springs Trojans gold black
11/5/2015,225,school,,AR,Hot Springs,34.474,-92.9995,100,Lakeside Rams,,,Arkansas Hot Springs blue gold Lakeside rams
8/15/2013,85,school,,AR,Huntsville,36.0823,-93.7346,40,Huntsville Eagles,,,Arkansas maroon white
11/1/2018,320,school,,AR,Jessieville,34.70121,-93.062807,115,Jessieville Schools,,,"Jessieville High School, Jessieville Elementary, Jessieville Middle School, Arkansas, Lions"
9/13/2018,308,school,,AR,Jonesboro,35.842402,-90.703414,220,Jonesboro Schools,,,"jonesboro, hurricanes, arkansas high schools, northeast arkansas, golden hurricane"
12/21/2017,281,school,,AR,Kingston,36.054112,-93.51636,150,Kingston Yellowjackets,,,"kingston, kingston yellow jackets, yellow jackets, yellowjackets, arkansas high schools, arkansas sports, northwest arkansas high schools, bees"
9/13/2018,305,school,,AR,Leachville,35.939214,-90.260582,300,BUFFALO ISLAND MUSTANGS,,,"buffalo island, mustangs, monette, northeast arkansas, arkansas high schools, "
1/1/2014,160,school,,AR,Lead Hill,36.4197,-92.9149,40,Lead Hill Tigers ,,,Arkansas red white
8/15/2013,106,school,,AR,Lamar,35.43541,-93.39519,100,Lamar Warriors,,large radius to appear with Fort Smith,Arkansas warriors black orange
5/27/2015,202,school,,AR,Lake Hamilton,34.425,-93.089,120,Lake Hamilton Wolves,,larger radius to appear with Little Rock,Lake Hamilton wolves Pearcy Arkansas maroon gold
8/15/2013,21,school,,AR,Lincoln,35.95633,-94.42129,30,Lincoln Wolves,Lincoln Public Schools,,Arkansas wolfpack maroon white
4/28/2016,241,school,,AR,Lonoke,34.7908,-91.93917,60,Lonoke Jackrabbits,,,Arkansas lokoke jackrabbits purple black rabbit
12/17/2014,195,school,,AR,Mansfield,35.26109,-94.31409,40,Mansfield Tigers,,,Arkansas mansfield tigers red white black
8/15/2013,113,school,,AR,Mena,34.579,-94.2198,90,Mena Bearcats,,,Arkansas black red
12/17/2015,226,school,,AR,Morrilton,35.1644,-92.7369,90,Morrilton Devildogs,,,morrilton arkansas devildogs school
8/15/2013,63,school,,AR,Mountain Home,36.3308,-92.394,30,Mountain Home Bombers,,,Arkansas royal blue gold
9/13/2018,309,school,,AR,Mount Ida,34.556793,-93.634219,150,MOUNT IDA LIONS,,,"mount ida, mt ida, ouachitas, southwest arkansas, western arkansas, lions"
7/26/2018,298,school,,AR,Nashville,33.957109,-93.851778,230,Nashville Schools,,,"nashville, nashville arkansas, nashville ar, scrappers, southwest arkansas, arkansas high schools"
11/5/2015,224,school,,AR,Ola,35.0108,-93.34296,150,Two Rivers Gators,,large radius to appear with Fort Smith,Arkansas Ola blue orange Two Rivers gators
8/15/2013,95,school,,AR,Paris,35.29246,-93.7299,60,Paris Eagles,,large radius to appear with Fort Smith,Arkansas royal blue white
8/15/2013,30,school,,AR,Pea Ridge,36.4558,-94.124,30,Pea Ridge Blackhawks,,,Arkansas black red white
8/15/2013,66,school,,AR,Pottsville,35.2385,-93.0286,130,Pottsville Apaches,,large radius to appear with Fort Smith & Little Rock,Arkansas black gold
8/15/2013,34,school,,AR,Prairie Grove,35.9809,-94.3248,30,Prairie Grove Tigers,,,Arkansas black gold
1/12/2015,196,school,,AR,Rogers,36.3075,-94.1327,30,Arkansas Arts Academy,,,Arkansas rogers green fine arts academy
8/15/2013,53,school,,AR,Rogers,36.2998,-94.1468,30,Rogers Mounties,,,Arkansas royal blue white
8/15/2013,52,school,,AR,Rogers,36.3236,-94.1235,30,Rogers Heritage War Eagles,,,Arkansas navy blue gold
7/30/2020,348,school,,AR,Rogers,36.289372,-94.186444,30,Providence Academy,,,Providence Classical Christian Academy School Rogers Arkansas high school grammar school
8/15/2013,99,school,,AR,Russellville,35.2783,-93.1348,140,Russellville Cyclones,,larger radius to appear with Fort Smith & Little Rock,Arkansas crimson black
8/15/2013,114,school,,AR,Scranton,35.36119,-93.53574,75,Scranton Rockets,,larger radius to appear with Fort Smith,Arkansas purple gold
8/15/2013,29,school,,AR,Siloam Springs,36.1907,-94.5145,30,Siloam Springs Panthers,,,Arkansas maroon gray
8/15/2013,88,school,,AR,Subiaco Academy,35.2983,-93.6339,60,Subiaco Academy Trojans,,large radius to appear with Fort Smith,Arkansas blue orange
8/15/2013,133,school,,AR,Valley Springs,36.15757,-92.99295,30,Valley Springs Tigers,,,Arkansas green white
8/15/2013,89,school,,AR,Van Buren,35.4367,-94.3487,30,Van Buren Pointers,,,Arkansas kelly green white
